Macrotrends Data Download

Gold Price - Last 10 Years

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2013-09-27,1321.5000
2013-09-30,1335.7500
2013-10-01,1332.2500
2013-10-02,1293.7500
2013-10-03,1309.0000
2013-10-04,1316.0000
2013-10-07,1311.0000
2013-10-08,1321.0000
2013-10-09,1309.5000
2013-10-10,1298.0000
2013-10-11,1285.7500
2013-10-14,1276.0000
2013-10-15,1255.5000
2013-10-16,1278.2500
2013-10-17,1308.5000
2013-10-18,1317.0000
2013-10-21,1316.0000
2013-10-22,1311.7500
2013-10-23,1333.0000
2013-10-24,1336.2500
2013-10-25,1341.7500
2013-10-28,1351.0000
2013-10-29,1346.7500
2013-10-30,1349.5000
2013-10-31,1333.7500
2013-11-01,1314.7500
2013-11-04,1314.2500
2013-11-05,1311.2500
2013-11-06,1317.0000
2013-11-07,1316.0000
2013-11-08,1309.0000
2013-11-11,1283.7500
2013-11-12,1281.0000
2013-11-13,1276.0000
2013-11-14,1283.2500
2013-11-15,1281.7500
2013-11-18,1283.5000
2013-11-19,1272.2500
2013-11-20,1271.5000
2013-11-21,1248.5000
2013-11-22,1241.7500
2013-11-25,1231.7500
2013-11-26,1250.7500
2013-11-27,1250.7500
2013-11-28,1241.7500
2013-11-29,1245.2500
2013-12-02,1237.5000
2013-12-03,1219.0000
2013-12-04,1213.0000
2013-12-05,1234.0000
2013-12-06,1230.7500
2013-12-09,1228.5000
2013-12-10,1245.7500
2013-12-11,1255.2500
2013-12-12,1243.5000
2013-12-13,1222.7500
2013-12-16,1229.5000
2013-12-17,1237.2500
2013-12-18,1233.2500
2013-12-19,1205.2500
2013-12-20,1195.0000
2013-12-23,1192.7500
2013-12-24,1196.5000
2013-12-27,1209.2500
2013-12-30,1201.5000
2013-12-31,1201.5000
2014-01-02,1219.7500
2014-01-03,1232.2500
2014-01-06,1238.0000
2014-01-07,1237.5000
2014-01-08,1226.5000
2014-01-09,1226.0000
2014-01-10,1232.2500
2014-01-13,1246.0000
2014-01-14,1248.7500
2014-01-15,1238.0000
2014-01-16,1237.2500
2014-01-17,1241.0000
2014-01-20,1254.7500
2014-01-21,1247.7500
2014-01-22,1239.5000
2014-01-23,1244.2500
2014-01-24,1259.2500
2014-01-27,1270.0000
2014-01-28,1253.5000
2014-01-29,1254.7500
2014-01-30,1254.0000
2014-01-31,1246.5000
2014-02-03,1246.5000
2014-02-04,1253.0000
2014-02-05,1257.0000
2014-02-06,1258.5000
2014-02-07,1260.0000
2014-02-10,1273.5000
2014-02-11,1282.7500
2014-02-12,1286.5000
2014-02-13,1290.2500
2014-02-14,1308.5000
2014-02-17,1326.0000
2014-02-18,1314.0000
2014-02-19,1318.7500
2014-02-20,1313.7500
2014-02-21,1320.7500
2014-02-24,1333.0000
2014-02-25,1332.7500
2014-02-26,1340.0000
2014-02-27,1331.0000
2014-02-28,1327.7500
2014-03-03,1344.2500
2014-03-04,1339.5000
2014-03-05,1333.5000
2014-03-06,1334.2500
2014-03-07,1348.2500
2014-03-10,1334.2500
2014-03-11,1348.0000
2014-03-12,1355.7500
2014-03-13,1371.0000
2014-03-14,1370.0000
2014-03-17,1379.0000
2014-03-18,1362.5000
2014-03-19,1346.0000
2014-03-20,1327.0000
2014-03-21,1338.5000
2014-03-24,1322.0000
2014-03-25,1314.7500
2014-03-26,1314.5000
2014-03-27,1295.0000
2014-03-28,1295.7500
2014-03-31,1294.0000
2014-04-01,1286.5000
2014-04-02,1284.0000
2014-04-03,1287.2500
2014-04-04,1293.5000
2014-04-07,1299.0000
2014-04-08,1314.7500
